CreditDuration;CreditAmount;InstallmentRate;Age;NumberOfCredits;CreditHistory;EmploymentDuration;Housing;Purpose;Savings;Group;Gender;CreditRisk (y);y_hat
6;1169;4;67;2;A34;A75;A152;A43;A65;1;0;1;
48;5951;2;22;1;A32;A73;A152;A43;A61;0;1;0;
12;2096;2;49;1;A34;A74;A152;A46;A61;1;0;1;0,852052987
42;7882;2;45;1;A32;A74;A153;A42;A61;0;0;1;
24;4870;3;53;2;A33;A73;A153;A40;A61;1;0;0;
36;9055;2;35;1;A32;A73;A153;A46;A65;0;0;1;
24;2835;3;53;1;A32;A75;A152;A42;A63;1;0;1;
36;6948;2;35;1;A32;A73;A151;A41;A61;0;0;1;
12;3059;2;61;1;A32;A74;A152;A43;A64;1;0;1;
30;5234;4;28;2;A34;A71;A152;A40;A61;1;0;0;
12;1295;3;25;1;A32;A72;A151;A40;A61;1;1;0;
48;4308;3;24;1;A32;A72;A151;A49;A61;1;1;0;
12;1567;1;22;1;A32;A73;A152;A43;A61;1;1;1;
24;1199;4;60;2;A34;A75;A152;A40;A61;1;0;0;
15;1403;2;28;1;A32;A73;A151;A40;A61;1;1;1;
24;1282;4;32;1;A32;A73;A152;A43;A62;1;1;0;0,690417767
24;2424;4;53;2;A34;A75;A152;A43;A65;1;0;1;
30;8072;2;25;3;A30;A72;A152;A49;A65;0;0;1;
24;12579;4;44;1;A32;A75;A153;A41;A61;0;1;0;
24;3430;3;31;1;A32;A75;A152;A43;A63;1;0;1;
9;2134;4;48;3;A34;A73;A152;A40;A61;1;0;1;
6;2647;2;44;1;A32;A73;A151;A43;A63;1;0;1;
10;2241;1;48;2;A34;A72;A151;A40;A61;1;0;1;
12;1804;3;44;1;A34;A72;A152;A41;A62;1;0;1;0,924895227
10;2069;2;26;2;A34;A73;A152;A42;A65;1;0;1;
6;1374;1;36;1;A32;A73;A152;A42;A61;1;0;1;
6;426;4;39;1;A30;A75;A152;A43;A61;1;0;1;
12;409;3;42;2;A31;A73;A151;A43;A64;1;1;1;
7;2415;3;34;1;A32;A73;A152;A43;A61;1;0;1;
60;6836;3;63;2;A33;A75;A152;A49;A61;0;0;0;0,835083246
18;1913;3;36;1;A32;A72;A152;A49;A64;1;0;1;0,902312994
24;4020;2;27;1;A32;A73;A152;A42;A61;1;0;1;
18;5866;2;30;2;A32;A73;A152;A40;A62;0;0;1;0,855559886
12;1264;4;57;1;A34;A75;A151;A49;A65;1;0;1;
12;1474;4;33;1;A32;A72;A152;A42;A61;1;1;1;
45;4746;4;25;2;A34;A72;A152;A43;A61;1;0;0;
48;6110;1;31;1;A34;A73;A153;A46;A61;0;0;1;
18;2100;4;37;1;A32;A73;A152;A43;A61;1;0;0;
10;1225;2;37;1;A32;A73;A152;A44;A61;1;0;1;
9;458;4;24;1;A32;A73;A152;A43;A61;1;0;1;
30;2333;4;30;1;A32;A75;A152;A43;A63;1;0;1;
12;1158;3;26;1;A32;A73;A152;A43;A63;1;0;1;
18;6204;2;44;1;A33;A73;A152;A45;A61;0;0;1;
30;6187;1;24;2;A34;A74;A151;A41;A62;0;0;1;0,68856889
48;6143;4;58;2;A34;A75;A153;A41;A61;0;1;0;0,699797213
11;1393;4;35;2;A34;A72;A152;A40;A61;1;1;1;0,926021576
36;2299;4;39;1;A32;A75;A152;A43;A63;1;0;1;
6;1352;1;23;1;A32;A71;A151;A41;A63;1;1;1;
11;7228;1;39;2;A34;A73;A152;A40;A61;0;0;1;
12;2073;4;28;1;A32;A73;A152;A43;A62;1;1;1;0,896418273
24;2333;4;29;1;A33;A72;A152;A42;A65;1;0;1;
27;5965;1;30;2;A33;A75;A152;A41;A61;0;0;1;0,954671741
12;1262;3;25;1;A32;A73;A152;A43;A61;1;0;1;
18;3378;2;31;1;A32;A73;A152;A41;A65;1;0;1;
36;2225;4;57;2;A33;A75;A153;A40;A61;1;0;0;
6;783;1;26;1;A31;A73;A152;A40;A65;1;0;1;
12;6468;2;52;1;A32;A71;A152;A43;A65;0;0;0;0,893727541
36;9566;2;31;2;A34;A73;A152;A43;A61;0;1;1;
18;1961;3;23;1;A32;A75;A152;A40;A61;1;1;1;
36;6229;4;23;2;A34;A72;A151;A42;A61;0;1;0;0,398082823
9;1391;2;27;1;A32;A73;A152;A49;A61;1;0;1;
15;1537;4;50;2;A34;A75;A152;A43;A65;1;0;1;
36;1953;4;61;1;A30;A75;A153;A49;A61;1;0;0;
48;14421;2;25;1;A30;A73;A152;A49;A61;0;0;0;0,036973838
24;3181;4;26;1;A32;A72;A152;A43;A61;1;1;1;
27;5190;4;48;4;A32;A75;A152;A45;A65;1;0;1;0,650263488
12;2171;2;29;1;A32;A72;A152;A43;A61;1;1;1;
12;1007;4;22;1;A32;A73;A152;A40;A64;1;0;1;0,893612325
36;1819;4;37;1;A32;A73;A153;A46;A61;1;0;0;
36;2394;4;25;1;A32;A73;A152;A43;A65;1;1;1;0,311896652
36;8133;1;30;1;A32;A73;A152;A41;A61;0;1;1;0,571356595
7;730;4;46;2;A34;A75;A151;A43;A65;1;0;1;0,977869868
8;1164;3;51;2;A34;A75;A153;A410;A61;1;0;1;0,654764593
42;5954;2;41;2;A34;A74;A152;A49;A61;0;1;1;0,88307941
36;1977;4;40;1;A32;A75;A152;A46;A65;1;0;0;
12;1526;4;66;2;A34;A75;A153;A41;A61;1;0;1;
42;3965;4;34;1;A32;A72;A152;A43;A61;1;0;0;0,642867565
11;4771;2;51;1;A33;A74;A152;A43;A61;1;0;1;
54;9436;2;39;1;A30;A73;A152;A41;A65;0;0;1;0,863627553
30;3832;2;22;1;A32;A72;A152;A42;A61;1;0;1;
24;5943;1;44;2;A32;A72;A152;A43;A65;0;1;0;
15;1213;4;47;1;A32;A75;A152;A43;A63;1;0;1;
18;1568;3;24;1;A32;A73;A151;A49;A62;1;1;1;
24;1755;4;58;1;A32;A75;A152;A410;A61;1;1;1;
10;2315;3;52;1;A32;A75;A152;A43;A61;1;0;1;
12;1412;4;29;2;A34;A73;A152;A49;A61;1;1;1;
18;1295;4;27;2;A34;A72;A152;A42;A61;1;1;1;
36;12612;1;47;1;A32;A73;A153;A46;A62;0;0;0;
18;2249;4;30;1;A32;A74;A152;A40;A62;1;0;1;
12;1108;4;28;2;A30;A74;A152;A45;A61;1;0;0;
12;618;4;56;1;A34;A75;A152;A43;A61;1;0;1;
12;1409;4;54;1;A34;A75;A152;A41;A61;1;0;1;
12;797;4;33;1;A34;A75;A152;A43;A65;1;1;0;
24;3617;4;20;2;A34;A75;A151;A42;A65;1;0;1;
12;1318;4;54;1;A32;A75;A152;A40;A64;1;0;1;
54;15945;3;58;1;A30;A72;A151;A49;A61;0;0;0;
12;2012;4;61;1;A34;A74;A152;A46;A65;1;1;1;
18;2622;4;34;1;A32;A73;A152;A49;A62;1;0;1;
36;2337;4;36;1;A34;A75;A152;A43;A61;1;0;1;
20;7057;3;36;2;A33;A74;A151;A41;A65;0;0;1;0,940899909
24;1469;4;41;1;A32;A75;A151;A40;A62;1;0;1;0,763782144
36;2323;4;24;1;A32;A74;A151;A43;A61;1;0;1;0,185156271
6;932;3;24;1;A33;A73;A152;A43;A61;1;1;1;
9;1919;4;35;1;A34;A74;A151;A42;A61;1;0;1;
12;2445;2;26;1;A32;A72;A151;A41;A65;1;0;1;
24;11938;2;39;2;A34;A73;A152;A410;A61;0;0;0;
18;6458;2;39;2;A31;A75;A152;A40;A61;0;0;0;
12;6078;2;32;1;A32;A74;A152;A40;A61;0;0;1;0,575355649
24;7721;1;30;1;A32;A72;A152;A42;A65;0;1;1;
14;1410;1;35;1;A32;A75;A152;A49;A63;1;0;1;0,957325518
6;1449;1;31;2;A33;A75;A152;A49;A62;1;0;1;
15;392;4;23;1;A32;A72;A151;A46;A61;1;1;1;0,540696919
18;6260;3;28;1;A32;A74;A151;A40;A61;0;0;1;
36;7855;4;25;2;A34;A73;A152;A40;A61;0;1;0;
12;1680;3;35;1;A32;A75;A152;A43;A63;1;0;1;
48;3578;4;47;1;A34;A75;A152;A43;A65;1;0;1;0,883136988
42;7174;4;30;1;A32;A74;A152;A43;A65;0;1;0;
10;2132;2;27;2;A34;A72;A151;A42;A65;1;1;1;
33;4281;1;23;2;A34;A73;A152;A42;A63;1;1;0;
12;2366;3;36;1;A34;A74;A152;A40;A63;1;0;1;
21;1835;3;25;2;A32;A73;A152;A43;A61;1;1;0;0,689650595
24;3868;4;41;2;A34;A75;A151;A41;A61;1;1;1;
12;1768;3;24;1;A32;A73;A151;A42;A61;1;0;1;
10;781;4;63;2;A34;A75;A153;A40;A61;1;0;1;0,803868234
18;1924;4;27;1;A32;A72;A151;A42;A65;1;1;0;0,440391272
12;2121;4;30;2;A34;A73;A152;A40;A61;1;0;1;
12;701;4;40;1;A32;A73;A152;A43;A61;1;0;1;
12;639;4;30;1;A32;A73;A152;A45;A61;1;0;0;
12;1860;4;34;2;A34;A71;A152;A41;A61;1;0;1;0,645951986
12;3499;3;29;2;A34;A73;A152;A40;A61;1;1;0;
48;8487;1;24;1;A32;A74;A152;A40;A65;0;1;1;
36;6887;4;29;1;A33;A73;A152;A46;A61;0;0;0;
15;2708;2;27;2;A32;A72;A152;A42;A61;1;0;1;
18;1984;4;47;2;A32;A73;A153;A42;A61;1;0;1;
60;10144;2;21;1;A32;A74;A152;A43;A62;0;1;1;
12;1240;4;38;2;A34;A75;A152;A43;A65;1;1;1;0,96003288
27;8613;2;27;2;A33;A73;A152;A41;A64;0;0;1;
12;766;4;66;1;A32;A73;A152;A43;A63;1;0;0;
15;2728;4;35;3;A34;A74;A152;A43;A65;1;0;1;
12;1881;2;44;1;A32;A73;A151;A43;A61;1;1;1;
6;709;2;27;1;A32;A72;A152;A40;A64;1;0;1;
36;4795;4;30;1;A32;A72;A152;A43;A61;1;1;1;0,247526512
27;3416;3;27;1;A32;A73;A152;A43;A61;1;0;1;
18;2462;2;22;1;A32;A73;A152;A42;A61;1;0;0;
21;2288;4;23;1;A34;A72;A152;A42;A61;1;1;1;
48;3566;4;30;1;A31;A74;A152;A49;A62;1;0;1;
6;860;1;39;2;A34;A75;A152;A40;A61;1;1;1;
12;682;4;51;2;A34;A74;A152;A40;A62;1;1;1;
36;5371;3;28;2;A34;A73;A152;A42;A61;1;0;1;0,444099516
18;1582;4;46;2;A34;A75;A152;A43;A64;1;0;1;
6;1346;2;42;1;A32;A75;A153;A43;A62;1;0;1;
10;1924;1;38;1;A32;A73;A152;A43;A61;1;0;1;
36;5848;4;24;1;A32;A73;A152;A43;A61;0;0;1;
24;7758;2;29;1;A34;A75;A151;A41;A64;0;1;1;
24;6967;4;36;1;A33;A74;A151;A49;A62;0;0;1;
12;1282;2;20;1;A32;A73;A151;A42;A61;1;1;0;
9;1288;3;48;2;A34;A75;A152;A45;A62;1;0;1;
12;339;4;45;1;A31;A75;A152;A48;A61;1;0;1;
24;3512;2;38;2;A32;A74;A152;A40;A62;1;0;1;
6;1898;1;34;2;A34;A73;A152;A43;A65;1;0;1;
24;2872;3;36;1;A34;A75;A152;A43;A62;1;0;1;
18;1055;4;30;2;A34;A72;A152;A40;A61;1;1;1;
15;1262;4;36;2;A32;A74;A152;A44;A63;1;0;1;0,925460815
10;7308;2;70;1;A32;A71;A153;A40;A61;0;0;1;0,476810217
36;909;4;36;1;A32;A75;A152;A40;A63;1;0;1;
6;2978;1;32;1;A32;A73;A152;A42;A63;1;0;1;
18;1131;4;33;1;A32;A71;A152;A42;A61;1;1;0;
11;1577;4;20;1;A32;A72;A152;A42;A64;1;1;1;
24;3972;2;25;1;A32;A74;A151;A42;A61;1;1;1;0,500623167
24;1935;4;31;2;A34;A75;A152;A49;A61;1;0;0;
15;950;4;33;2;A30;A75;A151;A40;A61;1;0;0;0,160156265
12;763;4;26;1;A32;A73;A152;A42;A61;1;1;1;
24;2064;3;34;1;A33;A71;A152;A42;A61;1;1;0;
8;1414;4;33;1;A32;A73;A152;A43;A61;1;0;1;0,846334696
21;3414;2;26;2;A33;A72;A152;A46;A61;1;0;0;
30;7485;4;53;1;A31;A71;A152;A41;A65;0;1;0;0,574563265
12;2577;2;42;1;A32;A73;A152;A42;A61;1;0;1;
6;338;4;52;2;A34;A75;A152;A43;A63;1;0;1;
12;1963;4;31;2;A32;A74;A151;A43;A61;1;0;1;
21;571;4;65;2;A34;A75;A152;A40;A61;1;0;1;
36;9572;1;28;2;A33;A72;A152;A49;A61;0;0;0;
36;4455;2;30;2;A33;A73;A152;A49;A61;1;0;0;
21;1647;4;40;2;A31;A73;A152;A40;A65;1;0;0;0,269191444
24;3777;4;50;1;A34;A73;A152;A42;A64;1;0;1;
18;884;4;36;1;A34;A75;A152;A40;A61;1;0;0;0,944306076
15;1360;4;31;2;A34;A73;A152;A43;A61;1;0;1;0,943874598
9;5129;2;74;1;A31;A75;A153;A41;A61;0;1;0;
16;1175;2;68;3;A34;A71;A153;A40;A61;1;0;1;
12;674;4;20;1;A32;A74;A152;A43;A62;1;0;0;0,633012474
18;3244;1;33;2;A30;A73;A152;A42;A61;1;1;1;
24;4591;2;54;3;A32;A73;A152;A49;A64;1;0;0;
48;3844;4;34;1;A30;A74;A153;A49;A62;1;0;0;
27;3915;4;36;1;A32;A73;A152;A49;A61;1;0;0;0,901307523
6;2108;2;29;1;A32;A74;A151;A43;A61;1;0;1;
45;3031;4;21;1;A32;A73;A151;A43;A62;1;0;0;0,141260952
9;1501;2;34;2;A34;A75;A152;A46;A61;1;1;0;
6;1382;1;28;2;A34;A73;A152;A43;A61;1;1;1;0,982545972
12;951;4;27;4;A32;A72;A151;A42;A62;1;1;0;
24;2760;4;36;1;A32;A75;A153;A41;A65;1;0;1;0,930432677
18;4297;4;40;1;A33;A75;A152;A42;A61;1;0;0;0,54886961
9;936;4;52;2;A34;A75;A152;A46;A63;1;0;1;
12;1168;4;27;1;A32;A73;A152;A40;A61;1;0;1;
27;5117;3;26;2;A33;A74;A152;A49;A61;1;0;1;
12;902;4;21;1;A32;A74;A151;A48;A61;1;0;0;0,469527483
12;1495;4;38;2;A34;A75;A152;A40;A61;1;0;1;
30;10623;3;38;3;A34;A75;A153;A41;A61;0;0;1;
12;1935;4;43;3;A34;A75;A152;A42;A61;1;0;1;
12;1424;4;26;1;A34;A74;A152;A44;A61;1;0;1;
24;6568;2;21;1;A32;A73;A152;A49;A61;0;0;1;
12;1413;3;55;1;A32;A74;A152;A41;A64;1;0;1;
9;3074;1;33;2;A34;A73;A152;A43;A65;1;0;1;0,949430406
36;3835;2;45;1;A32;A75;A152;A43;A65;1;1;1;0,81619972
27;5293;2;50;2;A30;A71;A152;A49;A61;1;0;0;0,620854557
30;1908;4;66;1;A33;A75;A152;A49;A61;1;0;0;
36;3342;4;51;1;A34;A75;A152;A43;A65;1;0;1;
6;932;1;39;2;A34;A74;A152;A48;A65;1;1;1;
18;3104;3;31;1;A30;A74;A152;A49;A61;1;0;1;
36;3913;2;23;1;A32;A73;A152;A43;A61;1;0;1;
24;3021;2;24;1;A32;A73;A151;A42;A61;1;0;1;0,719395757
10;1364;2;64;1;A32;A73;A152;A40;A61;1;1;1;
12;625;4;26;1;A32;A72;A152;A43;A61;1;0;1;0,880890191
12;1200;4;23;1;A32;A73;A151;A46;A65;1;1;1;
12;707;4;30;2;A32;A73;A152;A43;A61;1;0;1;
24;2978;4;32;2;A33;A73;A152;A49;A65;1;0;1;
15;4657;3;30;1;A32;A73;A152;A41;A61;1;0;1;
36;2613;4;27;2;A30;A73;A152;A45;A61;1;0;1;
48;10961;1;27;2;A32;A74;A152;A43;A64;0;0;0;0,600896358
12;7865;4;53;1;A32;A75;A153;A42;A61;0;0;0;
9;1478;4;22;1;A32;A74;A152;A43;A61;1;0;0;
24;3149;4;22;1;A32;A72;A153;A42;A61;1;0;1;
36;4210;4;26;1;A32;A73;A152;A43;A61;1;0;0;
9;2507;2;51;1;A32;A75;A153;A40;A63;1;0;1;0,661231458
12;2141;3;35;1;A32;A74;A152;A43;A62;1;0;1;
18;866;4;25;1;A32;A73;A152;A43;A61;1;0;1;0,879760444
4;1544;2;42;3;A34;A74;A152;A43;A61;1;0;1;
24;1823;4;30;1;A32;A71;A152;A43;A61;1;0;0;
6;14555;1;23;1;A32;A71;A152;A40;A65;0;0;0;
21;2767;4;61;2;A32;A75;A151;A49;A62;1;0;0;0,869562268
12;1291;4;35;2;A34;A73;A152;A43;A61;1;1;1;
30;2522;1;39;1;A32;A75;A152;A43;A61;1;0;1;0,882216275
24;915;4;29;1;A32;A75;A152;A40;A65;1;1;0;0,453653783
6;1595;3;51;1;A32;A74;A152;A43;A61;1;0;1;
48;4605;3;24;2;A30;A75;A153;A41;A61;1;0;0;
12;1185;3;27;2;A34;A73;A152;A49;A61;1;1;1;
12;3447;4;35;1;A31;A73;A152;A48;A63;1;1;1;0,667508543
24;1258;4;25;1;A32;A74;A152;A49;A61;1;0;1;
12;717;4;52;3;A34;A75;A152;A43;A61;1;0;1;
6;1204;4;35;1;A30;A73;A151;A40;A62;1;0;1;0,702910125
24;1925;2;26;1;A32;A73;A152;A42;A61;1;0;1;
18;433;3;22;1;A32;A71;A151;A43;A61;1;1;0;
6;666;3;39;2;A34;A74;A152;A40;A64;1;1;1;0,989185572
12;2251;1;46;1;A32;A73;A152;A42;A61;1;1;1;0,877137303
30;2150;4;24;1;A32;A73;A152;A40;A61;1;1;0;
24;4151;2;35;2;A33;A73;A152;A42;A62;1;0;1;
9;2030;2;24;1;A32;A74;A152;A42;A65;1;0;1;0,897612095
60;7418;1;27;1;A33;A73;A152;A43;A65;0;0;1;
24;2684;4;35;2;A34;A73;A152;A43;A61;1;0;1;0,915644765
12;2149;4;29;1;A31;A73;A153;A43;A61;1;0;0;
15;3812;1;23;1;A32;A72;A152;A41;A62;1;1;1;
11;1154;4;57;3;A34;A71;A152;A43;A62;1;1;1;0,889297128
12;1657;2;27;1;A32;A73;A152;A42;A61;1;0;1;
24;1603;4;55;1;A32;A75;A152;A43;A61;1;1;1;0,919780612
18;5302;2;36;3;A34;A75;A153;A40;A61;1;0;1;
12;2748;2;57;3;A34;A75;A153;A46;A61;1;1;1;
10;1231;3;32;2;A34;A75;A152;A40;A61;1;0;1;
15;802;4;37;1;A32;A75;A152;A43;A61;1;0;0;0,964606881
36;6304;4;36;2;A34;A75;A152;A49;A65;0;0;1;0,982948482
24;1533;4;38;1;A32;A72;A152;A43;A61;1;1;1;
14;8978;1;45;1;A32;A75;A152;A40;A61;0;0;0;
24;999;4;25;2;A32;A75;A152;A43;A65;1;0;1;
18;2662;4;32;1;A32;A74;A152;A40;A65;1;0;1;0,943695247
12;1402;3;37;1;A34;A74;A151;A42;A63;1;1;1;0,916540027
48;12169;4;36;1;A31;A71;A153;A40;A65;0;0;1;0,741459012
48;3060;4;28;2;A32;A74;A152;A43;A61;1;0;0;0,36683017
30;11998;1;34;1;A32;A72;A152;A45;A61;0;0;0;0,721919417
9;2697;1;32;1;A32;A73;A152;A43;A61;1;0;1;0,917292893
18;2404;2;26;2;A34;A73;A152;A43;A61;1;1;1;
12;1262;2;49;1;A32;A75;A152;A42;A65;1;0;1;
6;4611;1;32;1;A32;A72;A152;A42;A61;1;1;0;
24;1901;4;29;1;A32;A73;A151;A43;A62;1;0;1;
15;3368;3;23;2;A34;A75;A151;A41;A64;1;0;1;
12;1574;4;50;1;A32;A73;A152;A42;A61;1;0;1;0,716900051
18;1445;4;49;1;A31;A74;A152;A43;A65;1;0;1;
15;1520;4;63;1;A34;A75;A152;A42;A65;1;0;1;
24;3878;4;37;1;A34;A72;A152;A40;A62;1;0;1;
47;10722;1;35;1;A32;A72;A152;A40;A61;0;1;1;
48;4788;4;26;1;A32;A74;A152;A41;A61;1;0;1;
48;7582;2;31;1;A33;A71;A153;A410;A62;0;0;1;
12;1092;4;49;2;A32;A73;A152;A43;A61;1;1;1;
24;1024;4;48;1;A33;A72;A152;A43;A61;1;0;0;0,8688097
12;1076;2;26;1;A32;A73;A152;A49;A61;1;0;1;
36;9398;1;28;1;A32;A72;A151;A41;A61;0;0;0;
24;6419;2;44;2;A34;A75;A153;A41;A61;0;1;1;0,87567842
42;4796;4;56;1;A34;A75;A153;A41;A61;1;0;1;
48;7629;4;46;2;A34;A75;A152;A49;A65;0;0;1;
48;9960;1;26;1;A32;A72;A152;A42;A61;0;1;0;
12;4675;1;20;1;A32;A72;A151;A41;A65;1;1;1;
10;1287;4;45;1;A32;A75;A152;A40;A65;1;0;1;0,915600061
18;2515;3;43;1;A32;A73;A152;A42;A61;1;0;1;0,676613688
21;2745;3;32;2;A34;A74;A152;A42;A64;1;0;1;
6;672;1;54;1;A32;A71;A152;A40;A61;1;1;1;0,908012688
36;3804;4;42;1;A30;A73;A152;A43;A61;1;1;0;
24;1344;4;37;2;A34;A74;A152;A40;A65;1;0;0;
10;1038;4;49;2;A34;A74;A152;A40;A61;1;0;1;0,926420689
48;10127;2;44;1;A34;A73;A153;A40;A63;0;0;0;
6;1543;4;33;1;A32;A73;A152;A42;A64;1;0;1;0,767461956
30;4811;2;24;1;A32;A74;A151;A41;A65;1;1;1;0,423314422
12;727;4;33;1;A32;A72;A152;A43;A62;1;0;0;0,641815603
8;1237;3;24;1;A32;A73;A152;A42;A61;1;1;0;
9;276;4;22;1;A32;A73;A151;A40;A61;1;0;1;0,744858801
48;5381;3;40;1;A32;A71;A153;A410;A65;1;0;1;0,467891663
24;5511;4;25;1;A32;A73;A152;A42;A62;0;0;1;0,653533459
24;3749;2;26;1;A32;A72;A152;A42;A61;1;1;1;
12;685;2;25;1;A32;A74;A152;A40;A61;1;0;0;
4;1494;1;29;1;A32;A72;A152;A40;A65;1;0;1;
36;2746;4;31;1;A31;A75;A152;A42;A61;1;0;0;
12;708;2;38;1;A32;A73;A152;A42;A61;1;0;1;0,745459914
24;4351;1;48;1;A32;A73;A152;A42;A65;1;1;1;
12;701;4;32;2;A34;A73;A152;A46;A61;1;0;1;
15;3643;1;27;2;A33;A75;A152;A42;A61;1;1;1;
30;4249;4;28;2;A34;A71;A152;A40;A61;1;0;0;
24;1938;4;32;1;A32;A72;A152;A43;A61;1;0;0;
24;2910;2;34;1;A32;A74;A153;A41;A61;1;0;1;0,946999073
18;2659;4;28;1;A32;A73;A152;A42;A64;1;0;1;
18;1028;4;36;2;A34;A73;A152;A40;A61;1;1;1;0,952558875
8;3398;1;39;2;A34;A74;A152;A40;A61;1;0;1;
12;5801;2;49;1;A34;A75;A151;A42;A65;0;0;1;
24;1525;4;34;1;A32;A74;A152;A40;A64;1;1;1;
36;4473;4;31;1;A32;A75;A152;A43;A61;1;0;1;
6;1068;4;28;1;A32;A75;A152;A43;A61;1;0;1;
24;6615;2;75;2;A34;A71;A153;A41;A61;0;0;1;
